"size_iter","samples","cm","iter","acc","auc"
1,54,"l2","1",0.636363636363636,0.714285714285714
1,54,"l1","1",0.636363636363636,0.5
1,54,"svmsig","1",0.727272727272727,0.678571428571429
1,54,"svmrad","1",0.727272727272727,0.678571428571429
1,54,"rf","1",0.727272727272727,0.714285714285714
1,54,"l2","2",0.636363636363636,0.428571428571429
1,54,"l1","2",0.545454545454545,0.392857142857143
1,54,"svmsig","2",0.636363636363636,0.357142857142857
1,54,"svmrad","2",0.636363636363636,0.357142857142857
1,54,"rf","2",0.454545454545455,0.178571428571429
1,54,"l2","3",0.6,0.541666666666667
1,54,"l1","3",0.7,0.666666666666667
1,54,"svmsig","3",0.5,0.625
1,54,"svmrad","3",0.4,0.625
1,54,"rf","3",0.4,0.5
1,54,"l2","4",0.583333333333333,0.5
1,54,"l1","4",0.583333333333333,0.5
1,54,"svmsig","4",0.75,0.771428571428571
1,54,"svmrad","4",0.583333333333333,0.228571428571429
1,54,"rf","4",0.666666666666667,0.885714285714286
1,54,"l2","5",0.6,0.5
1,54,"l1","5",0.6,0.5
1,54,"svmsig","5",0.6,0.458333333333333
1,54,"svmrad","5",0.5,0.458333333333333
1,54,"rf","5",0.5,0.416666666666667
1,54,"l2","6",0.636363636363636,0.714285714285714
1,54,"l1","6",0.545454545454545,0.214285714285714
1,54,"svmsig","6",0.636363636363636,0.785714285714286
1,54,"svmrad","6",0.636363636363636,0.785714285714286
1,54,"rf","6",0.545454545454545,0.571428571428571
1,54,"l2","7",0.636363636363636,0.428571428571429
1,54,"l1","7",0.636363636363636,0.642857142857143
1,54,"svmsig","7",0.636363636363636,0.392857142857143
1,54,"svmrad","7",0.636363636363636,0.392857142857143
1,54,"rf","7",0.636363636363636,0.464285714285714
1,54,"l2","8",0.636363636363636,0.75
1,54,"l1","8",0.636363636363636,0.5
1,54,"svmsig","8",0.818181818181818,0.785714285714286
1,54,"svmrad","8",0.818181818181818,0.785714285714286
1,54,"rf","8",0.545454545454545,0.553571428571429
1,54,"l2","9",0.545454545454545,0.6
1,54,"l1","9",0.545454545454545,0.5
1,54,"svmsig","9",0.545454545454545,0.533333333333333
1,54,"svmrad","9",0.545454545454545,0.533333333333333
1,54,"rf","9",0.454545454545455,0.566666666666667
1,54,"l2","10",0.6,0.791666666666667
1,54,"l1","10",0.6,0.5
1,54,"svmsig","10",0.8,0.875
1,54,"svmrad","10",0.6,0.875
1,54,"rf","10",0.8,0.791666666666667
1,54,"l2","11",0.583333333333333,0.714285714285714
1,54,"l1","11",0.416666666666667,0.657142857142857
1,54,"svmsig","11",0.75,0.771428571428571
1,54,"svmrad","11",0.75,0.771428571428571
1,54,"rf","11",0.666666666666667,0.557142857142857
1,54,"l2","12",0.6,0.625
1,54,"l1","12",0.7,0.833333333333333
1,54,"svmsig","12",0.5,0.583333333333333
1,54,"svmrad","12",0.5,0.583333333333333
1,54,"rf","12",0.6,0.583333333333333
1,54,"l2","13",0.7,0.708333333333333
1,54,"l1","13",0.7,0.5
1,54,"svmsig","13",0.6,0.791666666666667
1,54,"svmrad","13",0.6,0.791666666666667
1,54,"rf","13",0.8,0.708333333333333
1,54,"l2","14",0.636363636363636,0.714285714285714
1,54,"l1","14",0.636363636363636,0.714285714285714
1,54,"svmsig","14",0.545454545454545,0.607142857142857
1,54,"svmrad","14",0.545454545454545,0.607142857142857
1,54,"rf","14",0.636363636363636,0.607142857142857
1,54,"l2","15",0.727272727272727,0.678571428571429
1,54,"l1","15",0.727272727272727,0.678571428571429
1,54,"svmsig","15",0.727272727272727,0.571428571428571
1,54,"svmrad","15",0.727272727272727,0.571428571428571
1,54,"rf","15",0.727272727272727,0.821428571428571
1,54,"l2","16",0.636363636363636,0.5
1,54,"l1","16",0.636363636363636,0.285714285714286
1,54,"svmsig","16",0.636363636363636,0.607142857142857
1,54,"svmrad","16",0.545454545454545,0.607142857142857
1,54,"rf","16",0.818181818181818,0.785714285714286
1,54,"l2","17",0.6,0.5
1,54,"l1","17",0.6,0.5
1,54,"svmsig","17",0.6,0.416666666666667
1,54,"svmrad","17",0.6,0.416666666666667
1,54,"rf","17",0.6,0.479166666666667
1,54,"l2","18",0.6,0.5
1,54,"l1","18",0.6,0.5
1,54,"svmsig","18",0.8,0.916666666666667
1,54,"svmrad","18",0.6,0.916666666666667
1,54,"rf","18",0.8,0.833333333333333
1,54,"l2","19",0.636363636363636,0.642857142857143
1,54,"l1","19",0.636363636363636,0.714285714285714
1,54,"svmsig","19",0.636363636363636,0.75
1,54,"svmrad","19",0.636363636363636,0.75
1,54,"rf","19",0.727272727272727,0.678571428571429
1,54,"l2","20",0.583333333333333,0.6
1,54,"l1","20",0.75,0.8
1,54,"svmsig","20",0.5,0.628571428571429
1,54,"svmrad","20",0.5,0.628571428571429
1,54,"rf","20",0.666666666666667,0.8
1,54,"l2","21",0.636363636363636,0.714285714285714
1,54,"l1","21",0.636363636363636,0.75
1,54,"svmsig","21",0.727272727272727,0.678571428571429
1,54,"svmrad","21",0.818181818181818,0.678571428571429
1,54,"rf","21",0.727272727272727,0.75
1,54,"l2","22",0.454545454545455,0.607142857142857
1,54,"l1","22",0.727272727272727,0.607142857142857
1,54,"svmsig","22",0.545454545454545,0.642857142857143
1,54,"svmrad","22",0.545454545454545,0.642857142857143
1,54,"rf","22",0.545454545454545,0.785714285714286
1,54,"l2","23",0.636363636363636,0.928571428571428
1,54,"l1","23",0.636363636363636,0.785714285714286
1,54,"svmsig","23",0.818181818181818,0.892857142857143
1,54,"svmrad","23",0.727272727272727,0.892857142857143
1,54,"rf","23",0.727272727272727,0.785714285714286
1,54,"l2","24",0.6,0.833333333333333
1,54,"l1","24",0.6,0.708333333333333
1,54,"svmsig","24",0.7,0.75
1,54,"svmrad","24",0.6,0.75
1,54,"rf","24",0.7,0.75
1,54,"l2","25",0.545454545454545,0.633333333333333
1,54,"l1","25",0.545454545454545,0.5
1,54,"svmsig","25",0.545454545454545,0.633333333333333
1,54,"svmrad","25",0.636363636363636,0.633333333333333
1,54,"rf","25",0.545454545454545,0.533333333333333
1,54,"l2","26",0.6,0.5
1,54,"l1","26",0.6,0.583333333333333
1,54,"svmsig","26",0.6,0.625
1,54,"svmrad","26",0.6,0.375
1,54,"rf","26",0.8,0.583333333333333
1,54,"l2","27",0.636363636363636,0.464285714285714
1,54,"l1","27",0.636363636363636,0.5
1,54,"svmsig","27",0.545454545454545,0.392857142857143
1,54,"svmrad","27",0.545454545454545,0.392857142857143
