clade_name	NCBI_tax_id	ERR6282383_BCN-08_1_profile	ERR6282298_BCN-03_1_profile	ERR6282137_BCN-07_1_profile	ERR6282070_BCN-06_1_profile	ERR6281997_BCN-01_1_profile	ERR6281944_BCN-04_1_profile	ERR6281942_PRIMM0004_profile	ERR6281941_BCN-12_1_profile	ERR6281939_BCN-05_1_profile	ERR6281751_PRIMM0001_profile	ERR6281677_BCN-09_1_profile	ERR6281658_BCN-10_1_profile	ERR6281586_BCN-11_1_profile	ERR6281518_PRIMM0029_profile	ERR6281505_PRIMM0002_profile	ERR6281504_PRIMM0007_profile	ERR6281500_PRIMM0017_profile	ERR6281499_PRIMM0003_profile	ERR6281448_PRIMM0013_profile	ERR6281434_PRIMM0059_profile	ERR6281433_PRIMM0005_profile	ERR6281432_PRIMM0044_profile	ERR6281431_PRIMM0008_profile	ERR6281344_PRIMM0032_profile	ERR6281343_PRIMM0062_profile	ERR6281342_PRIMM0030_profile	ERR6281341_PRIMM0060_profile	ERR6281340_PRIMM0035_profile	ERR6281000_PRIMM0078_profile	ERR6280948_PRIMM0050_profile	ERR6280910_PRIMM0064_profile	ERR6280907_PRIMM0080_profile	ERR6280899_PRIMM0111_profile	ERR6279683_PRIMM0068_profile	ERR6279682_PRIMM0077_profile	ERR6279681_PRIMM0117_profile	ERR6279680_PRIMM0079_profile	ERR6279679_PRIMM0087_profile	ERR6279678_PRIMM0091_profile	ERR6279677_PRIMM0109_profile	ERR6279676_PRIMM0116_profile	ERR6279675_PRIMM0088_profile	ERR6279674_PRIMM0113_profile	ERR6279673_PRIMM0094_profile	ERR6279672_PRIMM0137_profile	ERR6279671_PRIMM0129_profile	ERR6279670_PRIMM0171_profile	ERR6279669_PRIMM0201_profile	ERR6279668_PRIMM0123_profile	ERR6279667_PRIMM0140_profile	ERR6279666_PRIMM0159_profile	ERR6279665_PRIMM0143_profile	ERR6279664_PRIMM0155_profile	ERR6279663_PRIMM0154_profile	ERR6279662_PRIMM0162_profile	ERR6279661_PRIMM0204_profile	ERR6279660_PRIMM0168_profile	ERR6279659_PRIMM0178_profile	ERR6279658_PRIMM0166_profile	ERR6279657_PRIMM0261_profile	ERR6279656_PRIMM0181_profile	ERR6279655_PRIMM0241_profile	ERR6279654_PRIMM0197_profile	ERR6279653_PRIMM0193_profile	ERR6279652_PRIMM0199_profile	ERR6279651_PRIMM0210_profile	ERR6279650_PRIMM0215_profile	ERR6279649_PRIMM0218_profile	ERR6279648_PRIMM0220_profile	ERR6279647_PRIMM0256_profile	ERR6279646_PRIMM0219_profile	ERR6279645_PRIMM0232_profile	ERR6279644_PRIMM0234_profile	ERR6279629_PRIMM0240_profile	ERR6279628_PRIMM0266_profile	ERR6279627_PRIMM0242_profile	ERR6279626_PRIMM0271_profile	ERR6279625_PRIMM0264_profile	ERR6279624_PRIMM0331_profile	ERR6279623_PRIMM0276_profile	ERR6279622_PRIMM0308_profile	ERR6279621_PRIMM0278_profile	ERR6279620_PRIMM0281_profile	ERR6279619_PRIMM0300_profile	ERR6279618_PRIMM0541_profile	ERR6279616_PRIMM0301_profile	ERR6279615_PRIMM0287_profile	ERR6279614_PRIMM0325_profile	ERR6275684_PRIMM0310_profile	ERR6275683_PRIMM0521_profile	ERR6275682_PRIMM0516_profile	ERR6275681_PRIMM0328_profile	ERR6275680_PRIMM0532_profile	ERR6275679_PRIMM0526_profile	ERR6275678_PRIMM0525_profile	ERR6275677_PRIMM0546_profile	ERR6275676_PRIMM0536_profile	ERR6275675_PRIMM0543_profile	ERR6275674_PRIMM0573_profile	ERR6275673_PRIMM0559_profile	ERR6275672_PRIMM0544_profile	ERR6275671_PRIMM0549_profile	ERR6275670_PRIMM0551_profile	ERR6275669_PRIMM0557_profile	ERR6275668_PRIMM0575_profile	ERR6275667_PRIMM0561_profile	ERR6275666_PRIMM0567_profile	ERR6275665_PRIMM0565_profile	ERR6275664_PRIMM0563_profile	ERR6275663_PRIMM0571_profile	ERR6275661_PRIMM0354_profile	ERR6275659_PRIMM0569_profile	ERR6275652_PRIMM0576_profile	ERR6273965_PRIMM0602_profile	ERR6271721_PRIMM0601_profile	ERR6271720_PRIMM0578_profile	ERR6271719_PRIMM0590_profile	ERR6267712_PRIMM0594_profile	ERR6267711_PRIMM0589_profile	ERR6264281_PRIMM0365_profile	ERR6264280_PRIMM0610_profile	ERR6257997_PRIMM0597_profile	ERR6254871_PRIMM0352_profile	ERR6254870_PRIMM0353_profile	ERR6254869_PRIMM0611_profile	ERR6248618_PRIMM0361_profile	ERR6243880_PRIMM0381_profile	ERR6243879_PRIMM0357_profile	ERR6243878_PRIMM0383_profile	ERR6243877_PRIMM0380_profile	ERR6239139_PRIMM0391_profile	ERR6239138_PRIMM0378_profile	ERR6236131_PRIMM0394_profile	ERR6235718_PRIMM0398_profile	ERR6235717_PRIMM0386_profile	ERR6235716_PRIMM0387_profile	ERR6233695_PRIMM0511_profile	ERR6233694_PRIMM0417_profile	ERR6233693_PRIMM0399_profile	ERR6233692_PRIMM0403_profile	ERR6232688_PRIMM0411_profile	ERR6232687_PRIMM0404_profile	ERR6232686_PRIMM0422_profile	ERR6232529_PRIMM0421_profile	ERR6232528_PRIMM0423_profile	ERR6232527_PRIMM0445_profile	ERR6232526_PRIMM0424_profile	ERR6232525_PRIMM0426_profile	ERR6232524_PRIMM0473_profile	ERR6232523_PRIMM0427_profile	ERR6232522_PRIMM0435_profile	ERR6232521_PRIMM0434_profile	ERR6232518_PRIMM0447_profile	ERR6232458_PRIMM0460_profile	ERR6232425_PRIMM0455_profile	ERR6232382_PRIMM0461_profile	ERR6231616_PRIMM0474_profile	ERR6231548_PRIMM0467_profile	ERR6231475_PRIMM0498_profile	ERR6230340_PRIMM0477_profile	ERR6230326_PRIMM0483_profile	ERR6230278_PRIMM0475_profile	ERR6230245_PRIMM0513_profile	ERR6229432_BCN-02_1_profile
Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0.09275	0	0.00847	0	0	0	0.29289	0.67603	0.61723	0.37919	0	0.01235	0	16.87849	0	0	0	1.41521	2.48243	0.00258	0.25992	0.09358	0	0.03748	0.00065	0	1.14575	2.6743	9.54725	11.32327	0.8015	0.01014	0.00282	0	2.43728	0.00144	0.69961	0	0.00096	0.00117	0.00252	0	0	0	0.09867	4.40371	0.00635	3.20719	0	4.65879	4.36163	0	2.40667	0.66745	9.02598	0.0034	0	0	0	0.21652	1.69939	0	1.48433	0	0.00997	0	0	2.68886	0.17708	0.51991	0	1.13184	1.50726	0	1.85564	0	1.28433	0.00051	0	0	1.32067	0	0	0.61205	0	0.00685	0	0	37.59937	0	0.36049	0	8.73599	0	0	0	13.75809	2.12859	4.2592	0.46714	0	0	0	0.27086	4.05154	0.12182	8.10018	0	0.02004	0	0.26767	0	7.39134	0	0.17466	0.10467	0	0	0	0.62959	0	31.17185	1.87823	0.23348	0	0	4.00155	0	0.05924	0.00534	4.47846	0	0.37266	5.43276	1.495	0	0.92919	0.00141	0	0.85842	0	7.14107	0	0.2001	0	0	0	0.36345	0.13118	0	0.17219	0	0	0	0.07183	0	0	0.19827	0	0	7.36322	0	0.47889	0.01629
Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0.04198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00543	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	3.63548	0.89144	0	0	0	0	0	0	0	0	0.05058	0	0	0	0	0	0	0	0.42214	0	0	0	0	0	0	0.8705	0	0.59033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37665	0.09368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20753	0	1.0707	0	0	0	0	0	0	0.26328	0	2.35135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989
Methanomassiliicoccales_archaeon_RumEn_M1	2157|28890|183967|1235850|||1713724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0.02609	0	0	0	0	0	0	0.03254	0.00407	0	0.0088	0.27101	0.00086	0.02811	0	0	0	0.01276	0	0	0	0	0	0	0.01712	0.00222	0.00227	0	0.02118	0.01364	0	0	0	0	0.00651	0.00231	0	0	0.1318	0.10224	0.00036	0	0	0	0	0.02105	0	0	0	0.01362	0	0	0	0	0.02491	0	0	0.02018	0	0	0	0	0	0.02006	0	0.04215	0	0	0	0.00116	0.01538	0.03469	0	0	0.02414	0	0.00073	0	0	0	0	0.01195	0	0.00023	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0.01943	0	0.00959	0	0.0096	0.01024	0	0	0	0	0	0	0	0.00945	0	0	0.01244	0	0	0	0	0	0.00843	0	0.01263	0	0	0	0.01257	0.01121	0	0	0	0.00821	0	0	0	0.00328	0	0	0	0.00666	0	0	0	0.00416	0	0	0.09525	0
Actinomyces_cardiffensis	2|201174|1760|2037|2049|1654|181487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_georgiae	2|201174|1760|2037|2049|1654|52768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0.00163	0	0	0	0	0	0	0	0	0.01424	0	0.00345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0.00788	0	0	0	0	0	0	0	0.00666	0.00335	0.02588	0	0	0	0	0	0	0	0	0	0.00904	0	0.00601	0	0	0.00267	0	0.01383	0	0.02622	0	0	0.00265	0	0.00262	0.00132	0	0.00023	0	0	0	0.00166	0.25461	0	0.00304	0.00715	0	0	0.00922	0	0	0.0023	0	0.00164	0	0.00191	0	0.01277	0	0	0	0	0	0.02158	0.02534	0	0	0	0	0	0	0	0.01465	0.05151	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0.0065	0	0	0.0182	0.05806	0	0	0.00154	0	0.00027	0	0.00398	0	0	0.00147	0	0	0	0	0.00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0.29606	0	0	0	0	0.01812	0	0.01806	0	0.02139	0	0	0	0.00377	0	0	0	0
Actinomyces_hongkongensis	2|201174|1760|2037|2049|1654|178339	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00421	0.00062	0.04178	0	0.00534	0	0	0	0	0	0	0	0.00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0	0	0	0.00616	0	0	0.02748	0	0	0	0.00814	0.0057	0	0.03811	0	0	0	0	0	0	0.01678	0	0	0	0.00067	0.00586	0	0.02249	0.00023	0.01365	0.00956	0	0.02487	0	0	0	0	0.00151	0	0	0.05576	0.01224	0.0007	0	0	0	0	0.00023	0.02498	0.01047	0.0167	0	0.00588	0	0	0	0.00019	0.01865	0	0	0.01351	0	0	0	0	0	0	0	0	0.00169	0	0	0	0.02563	0	0.02054	0.01995	0	0	0	0	0	0	0	0.02901	0	0.00129	0	0	0	0.00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00648	0	0	0	0.00294	0	0.01525	0	0	0	0	0.03865	0	0	0	0	0	0.01505	0	0	0	0	0	0	0	0.00181	0	0	0	0	0	0.05254	0	0.00911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0	0	0	0	0	0	0.01462	0	0	0	0	0	0	0.00237	0	0	0.00234	0	0	0.01123	0	0	0	0.00226	0	0	0	0	0	0	0.00726	0	0.01295	0	0.01445	0.03764	0.02118	0.01279	0	0	0.00519	0.00222	0	0.05483	0.01474	0	0	0	0	0	0	0.02101	0.01009	0.01225	0	0.00073	0	0	0	0	0.01316	0	0	0.00309	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.00778	0	0.01042	0.01474	0	0	0	0	0	0	0.01455	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0.00323	0	0.00047	0	0.01487	0.00792	0	0	0.00739	0.02414	0	0	0	0.1046	0	0	0	0	0	0	0	0	0	0	0.0128	0	0	0	0	0.05263	0	0	0	0	0	0	0	0.06716	0	0.00732	0	0	0	0	0	0.0159	0	0	0	0
