"cm","iter","acc","auc"
"l2","1",0.636363636363636,0.785714285714286
"l1","1",0.636363636363636,0.5
"svmsig","1",0.727272727272727,0.821428571428572
"svmrad","1",0.727272727272727,0.821428571428572
"rf","1",0.818181818181818,0.785714285714286
"l2","2",0.636363636363636,0.392857142857143
"l1","2",0.636363636363636,0.464285714285714
"svmsig","2",0.545454545454545,0.392857142857143
"svmrad","2",0.545454545454545,0.392857142857143
"rf","2",0.636363636363636,0.357142857142857
"l2","3",0.6,0.416666666666667
"l1","3",0.5,0.583333333333333
"svmsig","3",0.5,0.416666666666667
"svmrad","3",0.4,0.416666666666667
"rf","3",0.4,0.375
"l2","4",0.583333333333333,0.971428571428571
"l1","4",0.583333333333333,0.5
"svmsig","4",0.833333333333333,0.914285714285714
"svmrad","4",0.833333333333333,0.914285714285714
"rf","4",0.75,0.885714285714286
"l2","5",0.6,0.5
"l1","5",0.7,0.791666666666667
"svmsig","5",0.6,0.666666666666667
"svmrad","5",0.5,0.666666666666667
"rf","5",0.5,0.4375
"l2","6",0.727272727272727,0.714285714285714
"l1","6",0.454545454545455,0.642857142857143
"svmsig","6",0.636363636363636,0.785714285714286
"svmrad","6",0.727272727272727,0.785714285714286
"rf","6",0.636363636363636,0.642857142857143
"l2","7",0.636363636363636,0.392857142857143
"l1","7",0.636363636363636,0.642857142857143
"svmsig","7",0.636363636363636,0.392857142857143
"svmrad","7",0.454545454545455,0.392857142857143
"rf","7",0.636363636363636,0.392857142857143
"l2","8",0.636363636363636,0.75
"l1","8",0.636363636363636,0.5
"svmsig","8",0.818181818181818,0.714285714285714
"svmrad","8",0.818181818181818,0.714285714285714
"rf","8",0.727272727272727,0.678571428571429
"l2","9",0.545454545454545,0.8
"l1","9",0.818181818181818,0.966666666666667
"svmsig","9",0.545454545454545,0.566666666666667
"svmrad","9",0.545454545454545,0.566666666666667
"rf","9",0.818181818181818,0.8
"l2","10",0.6,0.5
"l1","10",0.6,0.5
"svmsig","10",0.6,0.916666666666667
"svmrad","10",0.6,0.916666666666667
"rf","10",0.6,0.729166666666667
"l2","11",0.583333333333333,0.657142857142857
"l1","11",0.416666666666667,0.657142857142857
"svmsig","11",0.75,0.628571428571429
"svmrad","11",0.75,0.628571428571429
"rf","11",0.666666666666667,0.685714285714286
"l2","12",0.6,0.625
"l1","12",0.8,0.791666666666667
