"cm","iter","acc","auc"
"l2","1",0.575757575757576,0.635338345864662
"l1","1",0.575757575757576,0.5
"svmsig","1",0.606060606060606,0.571428571428572
"svmrad","1",0.575757575757576,0.571428571428572
"rf","1",0.575757575757576,0.524436090225564
"l2","2",0.53125,0.523809523809524
"l1","2",0.5625,0.46031746031746
"svmsig","2",0.53125,0.511904761904762
"svmrad","2",0.53125,0.511904761904762
"rf","2",0.59375,0.553571428571429
"l2","3",0.545454545454545,0.571428571428572
"l1","3",0.575757575757576,0.5
"svmsig","3",0.545454545454545,0.620300751879699
"svmrad","3",0.636363636363636,0.620300751879699
"rf","3",0.515151515151515,0.496240601503759
"l2","4",0.575757575757576,0.43609022556391
"l1","4",0.575757575757576,0.5
"svmsig","4",0.545454545454545,0.507518796992481
"svmrad","4",0.545454545454545,0.507518796992481
"rf","4",0.484848484848485,0.503759398496241
"l2","5",0.606060606060606,0.680451127819549
"l1","5",0.454545454545455,0.492481203007519
"svmsig","5",0.666666666666667,0.740601503759398
"svmrad","5",0.636363636363636,0.740601503759398
"rf","5",0.606060606060606,0.593984962406015
"l2","6",0.575757575757576,0.590225563909775
"l1","6",0.606060606060606,0.62781954887218
"svmsig","6",0.545454545454545,0.612781954887218
"svmrad","6",0.545454545454545,0.612781954887218
"rf","6",0.484848484848485,0.567669172932331
"l2","7",0.575757575757576,0.5
"l1","7",0.575757575757576,0.5
"svmsig","7",0.575757575757576,0.421052631578947
"svmrad","7",0.545454545454545,0.578947368421053
"rf","7",0.424242424242424,0.445488721804511
"l2","8",0.5625,0.5
"l1","8",0.5625,0.5
"svmsig","8",0.65625,0.678571428571429
"svmrad","8",0.625,0.678571428571429
"rf","8",0.625,0.58531746031746
"l2","9",0.424242424242424,0.394736842105263
"l1","9",0.454545454545455,0.421052631578947
"svmsig","9",0.424242424242424,0.424812030075188
"svmrad","9",0.424242424242424,0.424812030075188
"rf","9",0.363636363636364,0.460526315789474
"l2","10",0.606060606060606,0.56390977443609
"l1","10",0.575757575757576,0.5
"svmsig","10",0.545454545454545,0.601503759398496
"svmrad","10",0.575757575757576,0.601503759398496
"rf","10",0.696969696969697,0.701127819548872
"l2","11",0.606060606060606,0.612781954887218
"l1","11",0.575757575757576,0.5
"svmsig","11",0.606060606060606,0.654135338345865
"svmrad","11",0.575757575757576,0.654135338345865
"rf","11",0.515151515151515,0.486842105263158
"l2","12",0.575757575757576,0.518796992481203
"l1","12",0.606060606060606,0.515037593984962
"svmsig","12",0.606060606060606,0.609022556390977
"svmrad","12",0.636363636363636,0.609022556390977
"rf","12",0.575757575757576,0.565789473684211
"l2","13",0.575757575757576,0.575187969924812
"l1","13",0.575757575757576,0.5
"svmsig","13",0.575757575757576,0.590225563909774
"svmrad","13",0.575757575757576,0.409774436090226
"rf","13",0.636363636363636,0.635338345864662
"l2","14",0.5625,0.388888888888889
"l1","14",0.5625,0.5
"svmsig","14",0.34375,0.432539682539683
"svmrad","14",0.34375,0.432539682539683
"rf","14",0.5,0.430555555555556
"l2","15",0.545454545454545,0.56015037593985
"l1","15",0.575757575757576,0.5
"svmsig","15",0.636363636363636,0.601503759398496
"svmrad","15",0.606060606060606,0.601503759398496
"rf","15",0.606060606060606,0.601503759398496
"l2","16",0.575757575757576,0.616541353383459
"l1","16",0.575757575757576,0.5
"svmsig","16",0.636363636363636,0.605263157894737
"svmrad","16",0.575757575757576,0.605263157894737
"rf","16",0.515151515151515,0.597744360902256
"l2","17",0.575757575757576,0.5
"l1","17",0.575757575757576,0.5
"svmsig","17",0.545454545454545,0.699248120300752
"svmrad","17",0.545454545454545,0.699248120300752
"rf","17",0.545454545454545,0.62781954887218
"l2","18",0.5625,0.496031746031746
"l1","18",0.5625,0.5
"svmsig","18",0.5,0.416666666666667
"svmrad","18",0.5,0.416666666666667
"rf","18",0.46875,0.579365079365079
"l2","19",0.575757575757576,0.680451127819549
"l1","19",0.575757575757576,0.50187969924812
"svmsig","19",0.666666666666667,0.714285714285714
"svmrad","19",0.666666666666667,0.714285714285714
"rf","19",0.545454545454545,0.565789473684211
"l2","20",0.545454545454545,0.338345864661654
"l1","20",0.424242424242424,0.270676691729323
"svmsig","20",0.484848484848485,0.364661654135338
