"study_name","author","year"
"AsnicarF_2021","AsnicarF",2021
"KaurK_2020","KaurK",2020
"KeohaneDM_2020","KeohaneDM",2020
"RubelMA_2020","RubelMA",2020
"ZhuF_2020","ZhuF",2020
"DeFilippisF_2019","DeFilippisF",2019
"DhakanDB_2019","DhakanDB",2019
"GhensiP_2019","GhensiP",2019
"GuptaA_2019","GuptaA",2019
"HMP_2019_ibdmdb","HMP",2019
"HMP_2019_t2d","HMP",2019
"LokmerA_2019","LokmerA",2019
"PasolliE_2019","PasolliE",2019
"ShaoY_2019","ShaoY",2019
"TettAJ_2019_a","TettAJ",2019
"TettAJ_2019_b","TettAJ",2019
"TettAJ_2019_c","TettAJ",2019
"ThomasAM_2019_c","ThomasAM",2019
"YachidaS_2019","YachidaS",2019
"FerrettiP_2018","FerrettiP",2018
"GopalakrishnanV_2018","GopalakrishnanV",2018
"HansenLBS_2018","HansenLBS",2018
"KieserS_2018","KieserS",2018
"MatsonV_2018","MatsonV",2018
"MehtaRS_2018","MehtaRS",2018
"RosaBA_2018","RosaBA",2018
"ThomasAM_2018a","ThomasAM",2018
"ThomasAM_2018b","ThomasAM",2018
"VilaAV_2018","VilaAV",2018
"WampachL_2018","WampachL",2018
"WirbelJ_2018","WirbelJ",2018
"YassourM_2018","YassourM",2018
"YeZ_2018","YeZ",2018
"AsnicarF_2017","AsnicarF",2017
"BrooksB_2017","BrooksB",2017
"ChengpingW_2017","ChengpingW",2017
"ChuDM_2017","ChuDM",2017
"CosteaPI_2017","CosteaPI",2017
"HallAB_2017","HallAB",2017
"HanniganGD_2017","HanniganGD",2017
"IjazUZ_2017","IjazUZ",2017
"JieZ_2017","JieZ",2017
"LassalleF_2017","LassalleF",2017
"LiJ_2017","LiJ",2017
"LoombaR_2017","LoombaR",2017
"NagySzakalD_2017","NagySzakalD",2017
"OlmMR_2017","OlmMR",2017
"SmitsSA_2017","SmitsSA",2017
"BritoIL_2016","BritoIL",2016
"ChngKR_2016","ChngKR",2016
"Heitz-BuschartA_2016","Heitz-BuschartA",2016
"LifeLinesDeep_2016","LifeLinesDeep",2016
"LiSS_2016","LiSS",2016
"LiuW_2016","LiuW",2016
"LouisS_2016","LouisS",2016
"PehrssonE_2016","PehrssonE",2016
"RaymondF_2016","RaymondF",2016
"SchirmerM_2016","SchirmerM",2016
"TettAJ_2016","TettAJ",2016
"VatanenT_2016","VatanenT",2016
"VincentC_2016","VincentC",2016
"VogtmannE_2016","VogtmannE",2016
"XieH_2016","XieH",2016
"YassourM_2016","YassourM",2016
"BackhedF_2015","BackhedF",2015
"Bengtsson-PalmeJ_2015","Bengtsson-PalmeJ",2015
"Castro-NallarE_2015","Castro-NallarE",2015
"DavidLA_2015","DavidLA",2015
"FengQ_2015","FengQ",2015
"KosticAD_2015","KosticAD",2015
"Obregon-TitoAJ_2015","Obregon-TitoAJ",2015
"RampelliS_2015","RampelliS",2015
"SankaranarayananK_2015","SankaranarayananK",2015
"ShiB_2015","ShiB",2015
"YuJ_2015","YuJ",2015
"ZeeviD_2015","ZeeviD",2015
"LiJ_2014","LiJ",2014
"NielsenHB_2014","NielsenHB",2014
"OhJ_2014","OhJ",2014
"QinN_2014","QinN",2014
"ZellerG_2014","ZellerG",2014
"KarlssonFH_2013","KarlssonFH",2013
"LeChatelierE_2013","LeChatelierE",2013
"LomanNJ_2013","LomanNJ",2013
"HMP_2012","HMP",2012
"QinJ_2012","QinJ",2012
